time,id,sentvn,mypparent,pparentrank,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,total_energy,attack
120.96,8,240 ,1 ,256 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,9 ,0 ,12 ,1 ,13,142 , 0 
121.078,11,240 ,5 ,823 ,0 ,1 ,4 ,3 ,2 ,1 ,1 ,12 ,1 ,16 ,4 ,21,193 , 0 
121.124,2,240 ,1 ,256 ,0 ,1 ,5 ,4 ,16 ,0 ,1 ,27 ,0 ,23 ,18 ,41,159 , 0 
121.138,6,240 ,2 ,512 ,0 ,1 ,6 ,5 ,5 ,1 ,1 ,19 ,1 ,15 ,6 ,22,336 , 0 
121.214,18,240 ,19 ,512 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,7 ,1 ,13 ,0 ,14,115 , 0 
121.236,4,240 ,19 ,512 ,0 ,1 ,5 ,2 ,0 ,1 ,0 ,9 ,1 ,11 ,0 ,12,121 , 0 
121.289,7,240 ,16 ,933 ,0 ,1 ,5 ,6 ,0 ,1 ,0 ,13 ,0 ,13 ,0 ,13,155 , 0 
121.337,14,240 ,1 ,256 ,0 ,1 ,5 ,4 ,2 ,0 ,0 ,12 ,1 ,20 ,2 ,23,133 , 0 
121.35,15,240 ,11 ,1049 ,0 ,1 ,7 ,2 ,1 ,3 ,1 ,15 ,1 ,9 ,2 ,12,234 , 0 
121.359,20,240 ,5 ,829 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,9 ,2 ,8 ,0 ,10,163 , 0 
121.36,16,240 ,2 ,512 ,0 ,1 ,8 ,5 ,5 ,2 ,0 ,21 ,0 ,14 ,5 ,19,333 , 0 
121.459,10,240 ,14 ,649 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,9 ,1 ,8 ,0 ,9,130 , 0 
121.481,12,240 ,5 ,829 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,8 ,2 ,12 ,0 ,14,149 , 0 
121.596,9,240 ,5 ,823 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,10 ,1 ,18 ,2 ,21,204 , 0 
121.603,5,240 ,13 ,558 ,0 ,1 ,4 ,5 ,12 ,1 ,1 ,24 ,1 ,23 ,14 ,38,258 , 0 
121.606,19,240 ,1 ,256 ,0 ,1 ,5 ,4 ,4 ,0 ,0 ,14 ,1 ,26 ,4 ,31,133 , 0 
121.696,17,240 ,6 ,1263 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,9 ,0 ,13 ,0 ,13,128 , 0 
121.771,13,240 ,1 ,256 ,0 ,1 ,5 ,4 ,17 ,1 ,1 ,29 ,0 ,12 ,19 ,31,191 , 0 
121.786,3,240 ,1 ,256 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,9,112 , 0 
240.959,8,240 ,1 ,256 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,4,81 , 0 
241.077,11,240 ,5 ,863 ,0 ,0 ,3 ,1 ,2 ,0 ,0 ,6 ,0 ,9 ,2 ,11,87 , 0 
241.123,2,240 ,1 ,256 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,5 ,0 ,8 ,3 ,11,85 , 0 
241.137,6,240 ,2 ,512 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,5 ,1 ,6,73 , 0 
241.213,18,240 ,19 ,512 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,9 ,1 ,10,79 , 0 
241.235,4,240 ,19 ,531 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,4 ,0 ,3 ,0 ,3,73 , 0 
241.289,7,240 ,16 ,993 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,5 ,0 ,5,65 , 0 
241.337,14,240 ,1 ,256 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,4 ,0 ,4 ,2 ,6,75 , 0 
241.349,15,240 ,11 ,1193 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,5 ,0 ,3 ,0 ,3,74 , 0 
241.359,20,240 ,5 ,863 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,4 ,0 ,7 ,0 ,7,81 , 0 
241.36,16,240 ,2 ,512 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,5 ,1 ,6,72 , 0 
241.443,10,240 ,14 ,635 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,60 , 0 
241.481,12,240 ,18 ,790 ,0 ,0 ,6 ,2 ,0 ,1 ,0 ,9 ,0 ,7 ,0 ,7,116 , 0 
241.595,9,240 ,5 ,863 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,8 ,0 ,8,84 , 0 
241.602,5,240 ,13 ,529 ,0 ,0 ,2 ,1 ,6 ,1 ,1 ,11 ,0 ,14 ,7 ,21,101 , 0 
241.606,19,240 ,1 ,256 ,0 ,0 ,3 ,0 ,2 ,0 ,0 ,5 ,0 ,9 ,2 ,11,75 , 0 
241.696,17,240 ,6 ,1168 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,3,67 , 0 
241.771,13,240 ,1 ,256 ,0 ,0 ,2 ,0 ,7 ,1 ,1 ,11 ,0 ,6 ,9 ,15,80 , 0 
241.786,3,240 ,1 ,256 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,67 , 0 
360.96,8,240 ,1 ,256 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,203 , 0 
361.077,11,240 ,5 ,825 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,7 ,0 ,7,264 , 0 
361.123,2,240 ,1 ,256 ,0 ,0 ,2 ,1 ,8 ,0 ,1 ,12 ,0 ,4 ,9 ,13,241 , 0 
361.138,6,240 ,2 ,512 ,0 ,0 ,1 ,2 ,1 ,0 ,1 ,5 ,0 ,6 ,2 ,8,420 , 0 
361.213,18,240 ,19 ,512 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,3 ,1 ,4,188 , 0 
361.235,4,240 ,19 ,531 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,178 , 0 
361.289,7,240 ,16 ,930 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,4 ,0 ,10 ,0 ,10,231 , 0 
361.337,14,240 ,1 ,256 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,0 ,5,192 , 0 
361.35,15,240 ,11 ,1193 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,6 ,0 ,6,295 , 0 
361.359,20,240 ,5 ,825 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,240 , 0 
361.36,16,240 ,2 ,512 ,0 ,0 ,3 ,1 ,4 ,0 ,0 ,8 ,0 ,11 ,4 ,15,453 , 0 
361.443,10,240 ,14 ,635 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0,190 , 0 
361.481,12,240 ,18 ,787 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,220 , 0 
361.595,9,240 ,16 ,913 ,0 ,0 ,6 ,2 ,0 ,1 ,0 ,9 ,0 ,4 ,0 ,4,319 , 0 
361.602,5,240 ,13 ,529 ,0 ,0 ,2 ,0 ,2 ,1 ,1 ,6 ,0 ,6 ,3 ,9,352 , 0 
361.606,19,240 ,1 ,256 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,3 ,0 ,5 ,1 ,6,197 , 0 
361.696,17,240 ,16 ,949 ,0 ,0 ,5 ,2 ,0 ,1 ,0 ,8 ,0 ,4 ,0 ,4,223 , 0 
361.771,13,240 ,1 ,256 ,0 ,0 ,2 ,1 ,2 ,1 ,1 ,7 ,0 ,3 ,4 ,7,276 , 0 
361.786,3,240 ,1 ,256 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,2,185 , 0 
480.96,8,243 ,1 ,256 ,0 ,0 ,6 ,2 ,3 ,2 ,2 ,15 ,0 ,11 ,6 ,17,254 , 0 
481.078,11,242 ,9 ,1685 ,0 ,0 ,5 ,2 ,3 ,2 ,1 ,13 ,0 ,13 ,6 ,19,328 , 0 
481.123,2,250 ,1 ,256 ,0 ,0 ,8 ,3 ,3 ,4 ,3 ,21 ,0 ,13 ,15 ,28,388 , 0 
481.138,6,250 ,2 ,512 ,0 ,0 ,5 ,2 ,4 ,4 ,3 ,18 ,0 ,15 ,8 ,23,370 , 0 
481.214,18,243 ,19 ,512 ,0 ,0 ,4 ,2 ,1 ,3 ,1 ,11 ,0 ,10 ,3 ,13,276 , 0 
481.235,4,243 ,19 ,512 ,0 ,0 ,8 ,4 ,0 ,4 ,0 ,16 ,0 ,8 ,0 ,8,388 , 0 
481.289,7,253 ,16 ,65535 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,8 ,0 ,11 ,13 ,24,204 , 1 
481.337,14,251 ,1 ,256 ,0 ,0 ,7 ,3 ,2 ,5 ,2 ,19 ,0 ,12 ,6 ,18,359 , 0 
481.35,15,250 ,7 ,1429 ,0 ,0 ,5 ,1 ,0 ,2 ,0 ,8 ,0 ,11 ,0 ,11,218 , 0 
481.359,20,243 ,5 ,768 ,0 ,0 ,4 ,4 ,0 ,5 ,0 ,13 ,0 ,9 ,0 ,9,358 , 0 
481.36,16,250 ,2 ,512 ,0 ,0 ,7 ,5 ,0 ,7 ,1 ,20 ,0 ,18 ,2 ,20,447 , 0 
481.444,10,243 ,14 ,592 ,0 ,0 ,5 ,3 ,0 ,3 ,0 ,11 ,0 ,6 ,0 ,6,218 , 0 
481.482,12,243 ,5 ,768 ,0 ,0 ,6 ,4 ,1 ,5 ,1 ,17 ,0 ,10 ,3 ,13,425 , 0 
481.596,9,250 ,7 ,1429 ,0 ,0 ,6 ,1 ,2 ,2 ,0 ,11 ,0 ,14 ,13 ,27,305 , 0 
481.603,5,250 ,19 ,512 ,0 ,0 ,8 ,2 ,7 ,4 ,5 ,26 ,0 ,16 ,19 ,35,466 , 0 
